Linkage Group,Marker Name,Locus Name,Type,Position
Cranberry-Composite_map-F1.LG01,scaffold_53968_1097,scaffold_53968_1097,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_2652_11004,scaffold_2652_11004,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_11414_3187,scaffold_11414_3187,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_11414_3221,scaffold_11414_3221,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_14462_3128,scaffold_14462_3128,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_39065_3280,scaffold_39065_3280,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_8248_6311,scaffold_8248_6311,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,scaffold_93931_607,scaffold_93931_607,marker_locus,0 cM
Cranberry-Composite_map-F1.LG01,SCF138607,SCF138607,marker_locus,0.45 cM
Cranberry-Composite_map-F1.LG01,scaffold_19157_2172,scaffold_19157_2172,marker_locus,0.45 cM
Cranberry-Composite_map-F1.LG01,scaffold_1312_1044,scaffold_1312_1044,marker_locus,0.45 cM
Cranberry-Composite_map-F1.LG01,scaffold_23874_167,scaffold_23874_167,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_7138_290,scaffold_7138_290,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_18618_147,scaffold_18618_147,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_33444_1678,scaffold_33444_1678,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_33444_1679,scaffold_33444_1679,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_48833_933,scaffold_48833_933,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_48833_935,scaffold_48833_935,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_48833_937,scaffold_48833_937,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_48833_951,scaffold_48833_951,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_54537_1893,scaffold_54537_1893,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_54537_1898,scaffold_54537_1898,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_54537_1937,scaffold_54537_1937,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_54537_2005,scaffold_54537_2005,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_54537_2035,scaffold_54537_2035,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_54537_2052,scaffold_54537_2052,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_7514_3882,scaffold_7514_3882,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_91922_297,scaffold_91922_297,marker_locus,1.47 cM
Cranberry-Composite_map-F1.LG01,scaffold_53968_1134,scaffold_53968_1134,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_109849_178,scaffold_109849_178,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_7138_265,scaffold_7138_265,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_7138_268,scaffold_7138_268,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_7138_293,scaffold_7138_293,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_35314_2820,scaffold_35314_2820,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_14462_3037,scaffold_14462_3037,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_17891_4953,scaffold_17891_4953,marker_locus,2.11 cM
Cranberry-Composite_map-F1.LG01,scaffold_124213_198,scaffold_124213_198,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_27699_4259,scaffold_27699_4259,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_65323_1244,scaffold_65323_1244,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_76130_520,scaffold_76130_520,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_16810_3436,scaffold_16810_3436,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_16810_3459,scaffold_16810_3459,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_16810_3463,scaffold_16810_3463,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_16810_3565,scaffold_16810_3565,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_16810_3591,scaffold_16810_3591,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_16810_3636,scaffold_16810_3636,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_65323_1295,scaffold_65323_1295,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_8624_6846,scaffold_8624_6846,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,SCF4386,SCF4386,marker_locus,2.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_9628_2399,scaffold_9628_2399,marker_locus,6.31 cM
Cranberry-Composite_map-F1.LG01,scaffold_53968_1035,scaffold_53968_1035,marker_locus,6.31 cM
Cranberry-Composite_map-F1.LG01,scaffold_9628_2504,scaffold_9628_2504,marker_locus,6.31 cM
Cranberry-Composite_map-F1.LG01,scaffold_76161_1307,scaffold_76161_1307,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_11402_4025,scaffold_11402_4025,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_3169_10335,scaffold_3169_10335,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_103838_294,scaffold_103838_294,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_19502_3457,scaffold_19502_3457,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_11266_2720,scaffold_11266_2720,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_32919_297,scaffold_32919_297,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_34590_3437,scaffold_34590_3437,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_11648_1119,scaffold_11648_1119,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_119801_313,scaffold_119801_313,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_2968_8231,scaffold_2968_8231,marker_locus,7.51 cM
Cranberry-Composite_map-F1.LG01,scaffold_59245_719,scaffold_59245_719,marker_locus,8.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_81081_492,scaffold_81081_492,marker_locus,8.9 cM
Cranberry-Composite_map-F1.LG01,scaffold_9160_2298,scaffold_9160_2298,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_9160_2381,scaffold_9160_2381,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_1100_4209,scaffold_1100_4209,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_1100_4227,scaffold_1100_4227,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_1106_7349,scaffold_1106_7349,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_3673_1458,scaffold_3673_1458,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_3766_574,scaffold_3766_574,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_3766_604,scaffold_3766_604,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_4368_8707,scaffold_4368_8707,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_76507_369,scaffold_76507_369,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_76507_384,scaffold_76507_384,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,vm51985,vm51985,marker_locus,9.43 cM
Cranberry-Composite_map-F1.LG01,scaffold_26476_4152,scaffold_26476_4152,marker_locus,9.43 cM
